Ticket ID,Issue Type,First Start Date,Start Status,First Done Date,Done Status,Time to Completion (Days),Current Status,Completion Status,,,
CAS-214,Story,11/21/2024,Ready for Dev,2/13/2025,Done,84,Done,Completed,,,
CAS-195,Story,11/21/2024,Testing,1/16/2025,Done,56,Done,Completed,,,
CAS-194,Story,11/6/2024,Ready for Dev,11/5/2025,Discarded,364,Discarded,Completed,,,
CAS-193,Story,11/18/2024,Ready for Dev,11/27/2024,Done,9,Done,Completed,,,
CAS-192,Story,11/6/2024,Ready for Dev,11/14/2024,Done,8,Done,Completed,,,
CAS-181,Story,10/29/2024,DEV In Progress,12/5/2024,Done,37,Done,Completed,,,
CAS-122,Story,2/21/2025,Ready for Merge,5/26/2025,Done,94,Done,Completed,,,
CAS-121,Story,10/7/2024,DEV In Progress,11/14/2024,Done,38,Done,Completed,,,
CAS-120,Story,10/3/2024,Ready for Dev,10/31/2024,Done,28,Done,Completed,,,
CAS-119,Story,10/3/2024,Ready for Dev,11/1/2024,Done,29,Done,Completed,,,
CAS-117,Story,10/3/2024,Ready for Dev,10/31/2024,Done,28,Done,Completed,,,
CAS-116,Story,10/2/2024,DEV In Progress,11/1/2024,Done,30,Done,Completed,,,
CAS-95,Story,9/23/2024,DEV In Progress,11/29/2024,Done,67,Done,Completed,,,
CAS-94,Story,9/20/2024,Ready for Dev,10/31/2024,Done,41,Done,Completed,,,
CAS-79,Story,9/12/2024,Ready for Dev,11/1/2024,Done,50,Done,Completed,,,
CAS-78,Story,9/12/2024,Ready for Dev,10/16/2024,Done,34,Done,Completed,,,
CAS-61,Story,9/10/2024,In Progress,10/24/2024,Done,44,Done,Completed,,,
CAS-60,Story,9/10/2024,In Progress,10/16/2024,Done,36,Done,Completed,,,
CAS-59,Task,9/10/2024,In Progress,9/11/2024,Done,1,Done,Completed,,,
CAS-7,Story,8/22/2024,In Progress,9/16/2024,Done,25,Done,Completed,,,
CAS-6,Story,8/22/2024,In Progress,9/13/2024,Done,22,Done,Completed,,,
CAS-5,Story,8/22/2024,In Progress,9/13/2024,Done,22,Done,Completed,,,
CAS-4,Story,8/22/2024,In Progress,10/16/2024,Done,55,Done,Completed,,,
CAS-3,Story,8/23/2024,Ready for Dev,8/23/2024,Done,0,Done,Completed,,,
CAS-2,Story,8/22/2024,In Progress,9/6/2024,Done,15,Done,Completed,,,
